City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
261,Rundu,NA,-17.9333,19.7667,56.19,49,1,5.97,clear sky
262,Pagudpud,PH,18.5616,120.7868,82.4,74,20,8.05,few clouds
263,Tandil,AR,-37.3217,-59.1332,64.0,91,100,5.26,overcast clouds
264,Bamberg,DE,49.8795,10.8863,37.0,74,6,3.0,clear sky
265,Ipixuna,BR,-1.7625,-48.8043,75.2,88,75,2.3,broken clouds
266,Caravelas,BR,-17.7125,-39.2481,73.18,89,97,3.78,overcast clouds
267,Tura,IN,25.5198,90.2201,88.77,26,0,6.26,clear sky
268,Takoradze,GH,4.8845,-1.7554,79.95,88,77,7.18,light rain
269,Adrar,MR,20.5022,-10.0711,72.99,13,0,11.23,clear sky
270,Aykhal,RU,66.0,111.5,27.54,84,100,26.15,overcast clouds
271,Biak,ID,-0.9131,122.8766,83.98,67,79,3.65,broken clouds
272,Vanavara,RU,60.34,102.2797,34.39,77,99,10.0,overcast clouds
273,Saint Paul Harbor,US,57.79,-152.4072,42.8,87,90,8.05,light rain
274,Salobreña,ES,36.7428,-3.5872,57.0,93,100,6.64,overcast clouds
275,Longyearbyen,SJ,78.2186,15.6401,17.6,62,75,4.61,broken clouds
276,Yaan,NG,7.3833,8.5667,79.74,78,100,7.49,overcast clouds
277,Arnedo,ES,42.2167,-2.1,50.0,93,0,6.91,clear sky
278,Sinnamary,GF,5.3833,-52.95,77.72,87,92,12.55,light rain
279,Coruripe,BR,-10.1256,-36.1756,77.0,89,63,8.34,broken clouds
280,Henties Bay,NA,-22.116,14.2845,63.0,88,19,1.99,few clouds
281,Mīrābād,AF,30.4362,61.8383,75.67,8,0,23.2,clear sky
282,Northam,GB,51.0333,-4.2167,42.01,80,0,4.0,clear sky
283,St. George's,GD,12.0564,-61.7485,80.6,78,20,24.16,few clouds
284,Gwadar,PK,25.1216,62.3254,83.91,64,1,3.18,clear sky
285,Broome,US,42.2506,-75.833,33.01,80,90,10.36,overcast clouds
286,Kirkland Lake,CA,48.1446,-80.0377,30.2,86,99,5.32,overcast clouds
287,Øksfjord,NO,70.2396,22.3479,32.0,74,75,2.3,light snow
288,Dunhua,CN,43.3725,128.2425,60.85,47,100,1.77,overcast clouds
289,Bredasdorp,ZA,-34.5322,20.0403,55.4,94,3,8.05,clear sky
290,Chumikan,RU,54.7183,135.315,37.45,64,100,3.94,overcast clouds
291,Vardø,NO,70.3705,31.1107,33.8,75,75,5.75,broken clouds
292,Oktyabr'skiy,RU,54.4815,53.471,39.81,97,100,3.31,overcast clouds
293,Juneau,US,58.3019,-134.4197,55.4,21,20,6.91,few clouds
294,Abbeville,FR,50.1,1.8333,37.0,83,4,7.74,clear sky
295,Victor Harbor,AU,-35.5667,138.6167,63.0,76,78,5.01,broken clouds
296,Baharly,TM,38.4362,57.4316,71.82,19,79,9.06,broken clouds
297,Elliot,ZA,-31.3333,27.85,46.02,84,5,4.27,clear sky
298,Provideniya,RU,64.3833,-173.3,41.0,48,0,11.18,clear sky
299,Eureka,US,40.8021,-124.1637,50.0,87,1,4.43,mist
300,College,US,64.8569,-147.8028,53.6,40,1,13.8,clear sky
301,Faya,SA,18.3851,42.4509,55.4,44,0,2.51,clear sky
302,Airai,TL,-8.9266,125.4092,76.82,46,32,2.55,scattered clouds
303,Korla,CN,41.7597,86.1469,41.74,57,100,8.3,overcast clouds
304,Taoudenni,ML,22.6783,-3.9836,84.07,9,0,9.48,clear sky
305,Vanimo,PG,-2.6741,141.3028,83.23,81,100,7.29,overcast clouds
306,Calabozo,VE,8.9242,-67.4293,87.31,47,96,11.86,overcast clouds
